,name,latitude,longitude,distance
0,Starbucks,37.790246,-122.422055,413
1,Starbucks,37.788625,-122.422318,462
2,Starbucks,37.785916,-122.421011,586
3,Starbucks,37.787194,-122.410692,677
4,Starbucks,37.789098,-122.408438,790
5,Starbucks,37.796744,-122.422081,844
6,Starbucks,37.786805,-122.407228,897
7,Starbucks,37.789293,-122.406729,929
8,Starbucks,21.307583,-157.860533,75
9,Starbucks,21.308273,-157.862147,274
10,Starbucks,41.885355,-87.632825,122
11,Starbucks,41.884186,-87.633561,122
12,Starbucks,41.88289,-87.632898,189
13,Starbucks,41.882295,-87.634281,293
14,Starbucks,41.883812,-87.628551,306
15,Starbucks,41.885882,-87.628886,330
16,Starbucks,41.880824,-87.632157,414
17,Starbucks,41.881589,-87.630379,431
18,Starbucks,41.888599,-87.63541,492
19,Starbucks,41.880322,-87.634792,497
20,Starbucks,41.883922,-87.62705,510
21,Starbucks,41.884811,-87.625947,519
22,Starbucks,41.884679,-87.637391,533
23,Starbucks,41.879702,-87.634085,586
24,Starbucks,41.880203,-87.626928,630
25,Starbucks,41.890159,-87.631277,638
26,Starbucks,41.885937,-87.624744,647
27,Starbucks,41.879574,-87.628163,662
28,Starbucks,41.87846,-87.631541,672
29,Starbucks,41.882511,-87.624901,675
30,Starbucks,41.885185,-87.624174,689
31,Starbucks,41.87883,-87.635826,699
32,Starbucks,41.889763,-87.637341,704
33,Starbucks,41.882396,-87.640375,708
34,Starbucks,41.886133,-87.624176,710
35,Starbucks,41.887803,-87.624196,734
36,Starbucks,41.877865,-87.634054,747
37,Starbucks,41.882907,-87.641452,770
38,Starbucks Coffee Company - Regional Office,41.884662,-87.642405,840
39,Starbucks,41.879263,-87.624983,860
